Gene_ID,C1,C2,H2,H3,external_gene_name
ENSG00000133401,6.75695821,6.345157868,5.950112465,6.134076471,PDZD2
ENSG00000133422,10.35607634,10.12870361,10.39702054,10.14116147,MORC2
ENSG00000133424,6.640192728,6.871112449,7.849030516,7.50682323,LARGE1
ENSG00000133433,4.398995776,4.398995776,4.398995776,4.398995776,GSTT2B
ENSG00000133454,5.623158858,4.812866393,5.002312918,5.270346002,MYO18B
ENSG00000133460,6.941486894,6.766982784,6.701196909,6.425164608,SLC2A11
ENSG00000133466,8.201237957,7.822794729,7.763843307,8.011010212,C1QTNF6
ENSG00000133477,6.346515355,5.355334123,5.933513541,5.369657812,FAM83F
ENSG00000133488,5.623158858,5.783825757,5.899568012,5.458501593,SEC14L4
ENSG00000133561,11.988132,11.51023224,12.12913305,11.99244553,GIMAP6
ENSG00000133574,12.58153063,11.95342265,10.64712671,11.24111207,GIMAP4
ENSG00000133597,8.470578381,8.308353698,9.297457428,9.319909189,ADCK2
ENSG00000133606,11.7292608,11.25915791,11.98424156,11.71536714,MKRN1
ENSG00000133612,10.09479396,10.12418941,10.03367127,10.37032979,AGAP3
ENSG00000133619,7.825880121,8.09314202,8.424201945,8.221687879,KRBA1
ENSG00000133624,6.94896619,6.871112449,6.278764545,6.072831682,ZNF767P
ENSG00000133627,8.644370867,8.320290892,7.348761293,7.938473418,ACTR3B
ENSG00000133639,12.66710487,12.64922401,13.99386189,13.50129774,BTG1
ENSG00000133640,4.825852101,4.905023648,4.950405935,4.654041345,LRRIQ1
ENSG00000133641,7.4446833,7.571359429,7.083459992,7.66739171,RLIG1
ENSG00000133657,9.953000211,9.948927876,8.845140776,9.519100992,ATP13A3
ENSG00000133661,5.708359341,5.810319491,6.029691246,6.301204079,SFTPD
ENSG00000133665,4.646039361,4.812866393,4.398995776,4.398995776,DYDC2
ENSG00000133678,8.164092939,7.322271316,8.292023386,7.92271939,TMEM254
ENSG00000133687,5.728600125,7.741867695,6.710188054,5.809212107,TMTC1
ENSG00000133703,9.858779235,9.924469021,9.349495177,9.638867931,KRAS
ENSG00000133704,10.16974518,10.24137009,8.795248003,9.374148923,IPO8
ENSG00000133706,10.9484999,11.05142606,9.348113204,9.98893018,LARS1
ENSG00000133731,8.310041071,8.271932246,7.682087458,7.837015892,IMPA1
ENSG00000133739,7.049586346,6.486664136,5.950112465,6.854153969,LRRCC1
ENSG00000133740,7.602281611,7.205213986,7.371047814,7.452637763,E2F5
ENSG00000133742,6.592387617,5.576786584,5.342961124,5.809212107,CA1
ENSG00000133773,8.72501965,8.991404195,8.7244864,9.211342578,CCDC59
ENSG00000133789,10.21261249,10.01747638,9.168700718,9.201644282,SWAP70
ENSG00000133794,9.522630059,9.750832054,8.999361716,8.827766854,BMAL1
ENSG00000133800,4.891294839,4.692146444,4.749005772,4.654041345,LYVE1
ENSG00000133805,9.835454314,9.07575003,9.089834569,8.758827513,AMPD3
ENSG00000133812,9.668389257,9.374771075,8.31491876,8.745524665,SBF2
ENSG00000133816,11.1434432,10.87999703,10.08763244,10.41433455,MICAL2
ENSG00000133818,7.670490872,8.351644758,9.04616248,8.789396443,RRAS2
ENSG00000133835,10.30393576,10.15328219,8.571550045,9.097403582,HSD17B4
ENSG00000133858,10.86268572,10.6075189,8.992296872,9.615941203,ZFC3H1
ENSG00000133872,12.71818708,12.46566749,12.93952399,12.96675403,SARAF
ENSG00000133874,7.895727142,7.946471874,8.491009203,8.205542665,RNF122
ENSG00000133884,10.28756073,10.4342126,10.82092721,10.58737091,DPF2
ENSG00000133895,9.902456925,9.725717447,10.52290678,10.47658351,MEN1
ENSG00000133935,7.829852049,7.966923405,8.789142714,8.695664981,ERG28
ENSG00000133937,4.646039361,4.812866393,5.372810532,6.103846575,GSC
ENSG00000133943,10.54221947,10.6567887,10.73215154,10.46785364,DGLUCY
ENSG00000133961,11.52431269,11.37242199,10.99511026,10.88692712,NUMB
ENSG00000133962,5.369949228,5.218515359,4.892785685,4.398995776,CATSPERB
ENSG00000133983,8.546968572,8.509326358,8.92153165,8.985014195,COX16
ENSG00000133985,9.044833638,8.657640194,9.515030914,9.670832905,TTC9
ENSG00000133997,8.510513701,8.61956523,8.426829915,8.240824288,MED6
ENSG00000134001,9.404716508,9.376671259,8.93817402,9.0404936,EIF2S1
ENSG00000134007,4.825852101,5.16683969,4.398995776,4.654041345,ADAM20
ENSG00000134013,6.128010472,6.67999554,7.035002711,6.274875543,LOXL2
ENSG00000134014,9.331541027,9.181753495,9.715839625,9.668489297,ELP3
ENSG00000134020,5.000499946,4.812866393,5.372810532,5.196382951,PEBP4
ENSG00000134028,5.479712502,5.111051869,4.950405935,5.019741727,ADAMDEC1
ENSG00000134042,5.708359341,6.222958844,5.691413212,5.726876207,MRO
ENSG00000134046,10.59697625,11.24155662,10.79075294,10.84812766,MBD2
ENSG00000134049,8.450185349,8.603397476,8.312076806,8.424877736,IER3IP1
ENSG00000134056,7.739789561,7.551075672,7.887864994,8.040479493,MRPS36
ENSG00000134057,6.61171872,6.107590923,7.712760694,6.819606598,CCNB1
ENSG00000134058,7.620795707,5.783825757,4.398995776,7.469114301,CDK7
ENSG00000134061,10.51862346,9.314585847,8.547618064,8.646399362,CD180
ENSG00000134070,7.495858113,7.833987487,8.760303059,8.108118651,IRAK2
ENSG00000134072,9.211272922,9.40673802,8.981634085,9.575232753,CAMK1
ENSG00000134077,8.864293517,9.148763551,8.394971357,8.202291603,THUMPD3
ENSG00000134086,11.4587532,11.44794636,12.08816551,11.74734462,VHL
ENSG00000134107,10.29755027,11.03107901,11.83083691,11.88861471,BHLHE40
ENSG00000134108,10.04737111,10.32733306,9.411673279,9.412478234,ARL8B
ENSG00000134109,11.51394791,11.09704774,11.19227065,10.95048503,EDEM1
ENSG00000134121,5.52996619,4.812866393,4.398995776,4.966374418,CHL1
